GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
310M300US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4737270,*****
310M300US38220,38220,"Pine Bluff, AR Metro Area",89998,1324
310M300US38300,38300,"Pittsburgh, PA Metro Area",2333367,*****
310M300US38340,38340,"Pittsfield, MA Metro Area",126313,*****
310M300US38540,38540,"Pocatello, ID Metro Area",85269,*****
310M300US38860,38860,"Portland-South Portland, ME Metro Area",532083,*****
310M300US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2451560,1226
310M300US38940,38940,"Port St. Lucie, FL Metro Area",473429,*****
310M300US39140,39140,"Prescott, AZ Metro Area",228168,*****
310M300US39300,39300,"Providence-Warwick, RI-MA Metro Area",1621122,*****
310M300US39340,39340,"Provo-Orem, UT Metro Area",617678,1250
310M300US39380,39380,"Pueblo, CO Metro Area",166475,*****
310M300US39460,39460,"Punta Gorda, FL Metro Area",182033,*****
310M300US39540,39540,"Racine, WI Metro Area",196071,*****
310M300US39580,39580,"Raleigh, NC Metro Area",1335079,*****
310M300US39660,39660,"Rapid City, SD Metro Area",147087,2490
310M300US39740,39740,"Reading, PA Metro Area",417854,*****
310M300US39820,39820,"Redding, CA Metro Area",179921,*****
310M300US39900,39900,"Reno, NV Metro Area",465208,1492
310M300US40060,40060,"Richmond, VA Metro Area",1301540,5408
310M300US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4580670,*****
310M300US40220,40220,"Roanoke, VA Metro Area",312688,1199
310M300US40340,40340,"Rochester, MN Metro Area",218280,*****
310M300US40380,40380,"Rochester, NY Metro Area",1077948,*****
310M300US40420,40420,"Rockford, IL Metro Area",338291,*****
310M300US40580,40580,"Rocky Mount, NC Metro Area",146738,*****
310M300US40660,40660,"Rome, GA Metro Area",97613,*****
310M300US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2324884,*****
310M300US40980,40980,"Saginaw, MI Metro Area",191934,*****
310M300US41060,41060,"St. Cloud, MN Metro Area",197759,*****
310M300US41100,41100,"St. George, UT Metro Area",165662,*****
310M300US41140,41140,"St. Joseph, MO-KS Metro Area",127092,1308
310M300US41180,41180,"St. Louis, MO-IL Metro Area",2807216,2007
310M300US41420,41420,"Salem, OR Metro Area",424982,*****
310M300US41500,41500,"Salinas, CA Metro Area",437907,*****
310M300US41540,41540,"Salisbury, MD-DE Metro Area",405853,*****
310M300US41620,41620,"Salt Lake City, UT Metro Area",1203105,*****
310M300US41660,41660,"San Angelo, TX Metro Area",119317,589
310M300US41700,41700,"San Antonio-New Braunfels, TX Metro Area",2473974,*****
310M300US41740,41740,"San Diego-Carlsbad, CA Metro Area",3337685,*****
310M300US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",4727357,*****
310M300US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1998463,*****
310M300US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",283405,*****
310M300US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",275897,*****
310M300US42140,42140,"Santa Fe, NM Metro Area",148750,*****
310M300US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",448150,*****
310M300US42220,42220,"Santa Rosa, CA Metro Area",504217,*****
310M300US42340,42340,"Savannah, GA Metro Area",387543,*****
310M300US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",555426,*****
310M300US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3867046,*****
310M300US42680,42680,"Sebastian-Vero Beach, FL Metro Area",154383,*****
310M300US42700,42700,"Sebring, FL Metro Area",102883,*****
310M300US43100,43100,"Sheboygan, WI Metro Area",115344,*****
310M300US43300,43300,"Sherman-Denison, TX Metro Area",131140,*****
310M300US43340,43340,"Shreveport-Bossier City, LA Metro Area",440933,*****
310M300US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",124756,*****
310M300US43580,43580,"Sioux City, IA-NE-SD Metro Area",169131,2007
310M300US43620,43620,"Sioux Falls, SD Metro Area",259650,509
310M300US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",321815,*****
310M300US43900,43900,"Spartanburg, SC Metro Area",334391,*****
310M300US44060,44060,"Spokane-Spokane Valley, WA Metro Area",564291,1934
310M300US44100,44100,"Springfield, IL Metro Area",207596,1319
310M300US44140,44140,"Springfield, MA Metro Area",631652,*****
310M300US44180,44180,"Springfield, MO Metro Area",461469,2654
310M300US44220,44220,"Springfield, OH Metro Area",134557,*****
310M300US44300,44300,"State College, PA Metro Area",162660,*****
310M300US44420,44420,"Staunton-Waynesboro, VA Metro Area",121999,*****
310M300US44700,44700,"Stockton-Lodi, CA Metro Area",745424,*****
310M300US44940,44940,"Sumter, SC Metro Area",106847,*****
310M300US45060,45060,"Syracuse, NY Metro Area",654841,*****
310M300US45220,45220,"Tallahassee, FL Metro Area",385473,1789
310M300US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3091399,*****
310M300US45460,45460,"Terre Haute, IN Metro Area",165798,3169
310M300US45500,45500,"Texarkana, TX-AR Metro Area",152188,2132
310M300US45540,45540,"The Villages, FL Metro Area",125165,*****
310M300US45780,45780,"Toledo, OH Metro Area",603668,*****
310M300US45820,45820,"Topeka, KS Metro Area",233149,*****
310M300US45940,45940,"Trenton, NJ Metro Area",374733,*****
310M300US46060,46060,"Tucson, AZ Metro Area",1022769,*****
310M300US46140,46140,"Tulsa, OK Metro Area",990773,1260
310M300US46220,46220,"Tuscaloosa, AL Metro Area",242279,3230
310M300US46340,46340,"Tyler, TX Metro Area",227727,*****
310M300US46520,46520,"Urban Honolulu, HI Metro Area",988650,*****
310M300US46540,46540,"Utica-Rome, NY Metro Area",293572,*****
310M300US46660,46660,"Valdosta, GA Metro Area",145871,1448
310M300US46700,46700,"Vallejo-Fairfield, CA Metro Area",445458,*****
310M300US47020,47020,"Victoria, TX Metro Area",100228,1664
310M300US47220,47220,"Vineland-Bridgeton, NJ Metro Area",152538,*****
310M300US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1724388,3765
310M300US47300,47300,"Visalia-Porterville, CA Metro Area",464493,*****
310M300US47380,47380,"Waco, TX Metro Area",267554,2227
310M300US47460,47460,"Walla Walla, WA Metro Area",64831,874
310M300US47580,47580,"Warner Robins, GA Metro Area",192766,2475
310M300US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6216710,2604
310M300US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",169892,*****
310M300US48060,48060,"Watertown-Fort Drum, NY Metro Area",114187,*****
310M300US48140,48140,"Wausau, WI Metro Area",135732,*****
310M300US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",119664,2012
310M300US48300,48300,"Wenatchee, WA Metro Area",118478,*****
310M300US48540,48540,"Wheeling, WV-OH Metro Area",141254,*****
310M300US48620,48620,"Wichita, KS Metro Area",646542,1152
310M300US48660,48660,"Wichita Falls, TX Metro Area",151230,*****
310M300US48700,48700,"Williamsport, PA Metro Area",113841,*****
310M300US48900,48900,"Wilmington, NC Metro Area",288156,*****
310M300US49020,49020,"Winchester, VA-WV Metro Area",139223,2617
310M300US49180,49180,"Winston-Salem, NC Metro Area",667733,*****
310M300US49340,49340,"Worcester, MA-CT Metro Area",942475,*****
310M300US49420,49420,"Yakima, WA Metro Area",250193,*****
310M300US49620,49620,"York-Hanover, PA Metro Area",446078,*****
310M300US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",541926,*****
310M300US49700,49700,"Yuba City, CA Metro Area",173679,*****
310M300US49740,49740,"Yuma, AZ Metro Area",207534,*****
